Feature,Coefficient,Abs_Coefficient
Exterior1st_HdBoard,-694.7647494318351,694.7647494318351
RoofStyle_Shed,690.8581599259891,690.8581599259891
Exterior1st_Stucco,-684.952627936398,684.952627936398
Exterior2nd_Wd Shng,-681.8539363658593,681.8539363658593
Neighborhood_BrkSide,677.2266404679959,677.2266404679959
GarageQual_Fa,-659.4255534770676,659.4255534770676
Neighborhood_SWISU,-647.4704219936143,647.4704219936143
Neighborhood_IDOTRR,-647.4504262954514,647.4504262954514
Heating_OthW,-638.8362468280782,638.8362468280782
PoolQC_None,-612.319741264107,612.319741264107
HasPool,612.3197412641016,612.3197412641016
HouseStyle_SLvl,-612.1180260712609,612.1180260712609
LotShape_Reg,-610.3119885365904,610.3119885365904
ExterQual_Gd,-605.6351119920912,605.6351119920912
PavedDrive_Y,600.7536279175546,600.7536279175546
Heating_GasW,591.8627053729091,591.8627053729091
Functional_Min2,-578.2306242297965,578.2306242297965
HouseStyle_SFoyer,-576.3363280154409,576.3363280154409
BsmtFinType2_Rec,-563.4010641240183,563.4010641240183
Exterior1st_WdShing,-552.4874910043253,552.4874910043253
Neighborhood_Sawyer,-546.093285833085,546.093285833085
RoofMatl_WdShake,542.3320955655247,542.3320955655247
Foundation_Wood,-525.6220512895682,525.6220512895682
LotConfig_FR3,-518.6160959079809,518.6160959079809
Condition1_PosA,-516.5617091193152,516.5617091193152
SaleType_ConLD,508.2697012143011,508.2697012143011
Neighborhood_NPkVill,487.00777949291495,487.00777949291495
Fence_MnPrv,479.13282070560126,479.13282070560126
MasVnrType_BrkFace,-477.0550198043679,477.0550198043679
EnclosedPorch,-463.9936337524853,463.9936337524853
BsmtQual_Fa,-459.50921462439203,459.50921462439203
Heating_Grav,-458.4467254154771,458.4467254154771
HouseStyle_2.5Fin,449.972196474207,449.972196474207
Exterior1st_Stone,447.5886405959497,447.5886405959497
Condition2_RRAn,436.10838844616967,436.10838844616967
GarageType_Detchd,-426.3407479340138,426.3407479340138
BsmtExposure_Mn,-414.4311173405797,414.4311173405797
BldgType_2fmCon,-411.27424512302497,411.27424512302497
Fence_MnWw,-397.7349061374844,397.7349061374844
Exterior1st_BrkComm,-397.63039636202734,397.63039636202734
Exterior1st_Plywood,-394.3532525566647,394.3532525566647
MasVnrType_None,382.96651423691327,382.96651423691327
Neighborhood_SawyerW,-377.6677494916857,377.6677494916857
Exterior2nd_HdBoard,-365.2902323217622,365.2902323217622
BsmtFinType2_BLQ,-365.018388241569,365.018388241569
BsmtFinSF2,351.0481965116433,351.0481965116433
Condition2_Feedr,347.6935929732337,347.6935929732337
Foundation_Stone,346.03045540703573,346.03045540703573
BsmtFinType1_LwQ,-343.98094419834814,343.98094419834814
ExterCond_Po,-339.8702048301502,339.8702048301502
HouseStyle_1.5Unf,336.77310319862823,336.77310319862823
Exterior2nd_AsphShn,333.415016530569,333.415016530569
FireplaceQu_Po,-333.15641341156123,333.15641341156123
PavedDrive_P,-322.14173002622744,322.14173002622744
LandSlope_Sev,316.38983722809064,316.38983722809064
Exterior1st_Wd Sdng,-313.07937786851187,313.07937786851187
LowQualFinSF,306.14805959420704,306.14805959420704
MiscFeature_Othr,-305.56967906788765,305.56967906788765
FireplaceQu_Gd,303.33522009332563,303.33522009332563
BsmtFinType1_BLQ,-300.26721781536594,300.26721781536594
RoofMatl_Roll,299.53820595407274,299.53820595407274
MiscFeature_None,293.85770520749656,293.85770520749656
BsmtFinType2_LwQ,-293.6442682207076,293.6442682207076
YrSold,292.9223113595314,292.9223113595314
GarageCond_Fa,-291.7643912405325,291.7643912405325
SaleType_ConLI,-289.477532481541,289.477532481541
Exterior2nd_Other,-288.18039917277815,288.18039917277815
GarageType_CarPort,-285.23945646424494,285.23945646424494
Exterior2nd_Brk Cmn,-273.44738397598786,273.44738397598786
BsmtFinType1_Rec,-254.79959805759964,254.79959805759964
GarageQual_Po,-248.12645935577225,248.12645935577225
HeatingQC_Fa,-242.0914066920339,242.0914066920339
Exterior2nd_MetalSd,-240.36143904728016,240.36143904728016
BsmtCond_Po,-239.832538068427,239.832538068427
GarageCond_Gd,236.0030311546819,236.0030311546819
SaleCondition_AdjLand,235.24980274404342,235.24980274404342
LotFrontage,220.17005771319478,220.17005771319478
Condition1_PosN,-210.52233595157463,210.52233595157463
Fence_None,-205.5980620364,205.5980620364
Exterior2nd_VinylSd,196.86018573534923,196.86018573534923
LandContour_Low,192.143492613224,192.143492613224
BsmtFinType1_None,-189.86269243703907,189.86269243703907
BsmtCond_None,-189.86269243703902,189.86269243703902
BsmtQual_None,-189.86269243703896,189.86269243703896
BsmtExposure_None,-189.86269243703887,189.86269243703887
BsmtFinType2_None,-189.86269243703856,189.86269243703856
HasBasement,189.86269243703563,189.86269243703563
Neighborhood_ClearCr,186.38336831565923,186.38336831565923
HouseStyle_2.5Unf,-185.183376396979,185.183376396979
FireplaceQu_TA,182.3765555049956,182.3765555049956
Exterior2nd_Wd Sdng,177.42012406509187,177.42012406509187
Condition2_RRAe,-175.79547771484846,175.79547771484846
Electrical_FuseF,-172.14979490102553,172.14979490102553
