Model,Train R²,Test R²,Train RMSE,Test RMSE,Alpha
Linear Regression,0.940913882836489,0.034140464367170664,18857.73727822218,82096.64061058273,N/A
Ridge Regression,0.8874526256149451,0.8604894805055978,26026.426309651888,31201.24173281073,500
Lasso Regression,0.9351025863100575,0.8458104654092689,19763.349462203776,32801.66199035829,100
